Content,Index,Difficulty
"6124895516040888405,23925373109534720,1531223874648412160,2305843009213693952,153122387901022210,598134327738368,1374389534720,0,-9223371452739221376,2281701384,0,0,598134327738368,8704,0,0",1,
"6124895516040888405,23925373109534720,1531223877668126720,2305843009213693952,23364622090242,5764607559541457236,4466765987840,0,-9223371452739223552,8,0,0,598134325510144,0,0,0",2,
"6124895516040888405,18295873575321600,1531223874648412165,2305843009213693952,153122387901022210,288230376153939968,1374389539841,0,-9223371452739221376,8,5242880,0,598134327738368,0,0,0",3,
"6124895516040888405,4611687478716268544,1531223879010222101,2305843009213693952,153122387901022210,598134325510144,2336462217728,0,584115554432,612489549322387456,8912896,0,2228224,0,34,0",4,
"6124895516040888405,4611686018516516864,1531223879010222101,2305843009213693952,153122387901022210,2228224,5841155544320,0,-9223371452739221376,8,8912896,0,598134327738368,0,0,0",5,
"6124895516040888405,4611687478716268544,1531223879010222101,0,23364622177280,598134325510144,2336462217728,0,584115554432,612489549322387456,8912896,0,2228224,0,34,0",6,
"6124895516040888405,4611687135139856384,1531223879010222101,0,9345848870912,1143492092887120,5841155544320,0,35651584,1170935903116328960,22282240,0,0,0,65,0",7,
"6124895516040888405,4611686018516516864,1531223879010222101,0,23364622177280,340,5841155544320,0,23925373109534720,0,146028888608,0,598134327738368,0,557056,0",8,
"6124895516040888405,4611686362092929024,1531223879010222101,0,23364622177280,351843720888580,5841155544320,0,18295873575321600,0,146028888608,0,2228224,0,557056,0",9,
"6124895516040888405,4611687478716268544,1531223879010222101,2305843009213693952,153122387901022210,1495335813775360,5841155544320,0,584115554432,1531223873305968640,22282240,0,2228224,0,34,0",10,
"285878391930965,4611687478716273984,1531223879010222101,0,292733975779102720,598134327738368,2336462217728,0,0,612489551604088832,8912896,0,0,2336462209024,34,0",11,
"6124895516040888405,23925373109534720,1531223877668126720,0,23364622177280,5764607559541457236,4466765987840,0,-9223371452739221376,8,0,0,598134327738368,0,0,0",12,
"6124895516040888405,4611687478716268544,1531223879010222101,0,23364622125056,36507222016,5841155544320,0,35651584,0,22282240,0,0,0,557056,0",13,
"6124895516040888405,4611687135139856384,1531223879010222101,0,23364622125056,1143492092887120,5841155544320,0,5629499569864704,1170935903116328960,22282240,0,0,0,65,0",14,
"4683743635282329685,4611687478716269824,1531223879010222101,2305843009213693952,570425346,1495335815086080,5841155544320,0,2176,1531223874648145920,22282240,0,0,38280596832649216,557056,0",15,
