Content,Index,Difficulty
"6124895584491929680,384213343566561285,87960931614720,0,2927339760072523776,11434920937783296,34816,0,2336462209024,2449958206416355362,0,0",1,
"6052838244125508949,384213343566561281,285873024614400,-9223372036854775808,612489549322913800,11434920937783296,34816,0,0,2449958206416355362,0,0",2,
"-8574853516030377334,384213344641351684,285873028485120,4611686018427387904,4362076176,1441151880801157120,1090519060,0,16640,-9187343239834746880,0,0",3,
"6052838265600345169,384213344641351681,373833954836480,0,93458489492480,5764608988691826000,1426063365,0,2336462209024,2449958240910311458,35651584,0",4,
"6057345918334666069,4634226092780093505,88047165440321,2305843009213693952,4616211608287395872,4611686716359573824,335873281,0,22517998220738560,17448304640,10400,0",5,
"6124895859638273365,384213344641351685,1412872447283200,-6917529027641081856,2927339768696012840,6052839364843536384,5389680661,288230376151711744,73183494217400321,653109906898944,20560,0",6,
"6124895789845053780,384213344641351685,1500833377505280,0,2314872198701072384,5188146856663843360,2726297609,0,-9223372036770889728,87960930222208,8224,0",7,
"6124895859638273365,384213343566561285,1500833377505280,0,375208344376320,6052838264258168144,44667659878421,0,11166915011200,-9187193706253041664,1116691496960,0",8,
"6124895859638273365,384213344641351685,1126999424061440,0,375208344376320,288231841809303880,4299196432,0,144680475030462976,1126999420903424,16400,0",9,
"6124895838163436805,384213344641351685,1500833377505280,0,353218111738880,6052838597118134824,5725224981,0,8830452793472,285873024286720,21840,0",10,
"5836665138546999376,384213344641351684,1412872446218240,0,21990232637440,4620728487953568068,4299161601,0,22517998220738560,87960930549760,0,0",11,
"6124895584491930965,95701493512929285,1126999424061440,0,93458488709120,2392537310957572,166400,0,356515840,2449958206416355328,0,0",12,
"6124895859638273365,384213343566561285,1500833373306880,-6917529027641081856,612630838848258088,5764607523043147776,35322146586629,0,2336462217728,2449958197289549858,0,0",13,
"6124895859638272340,384213344641351685,1500833377505280,-9223372036854775808,612489560227577864,6052839364843540484,5725224981,0,2336462217728,1500833376112640,21840,0",14,
"6124895563017094405,384213344641351685,1500833377505280,2305843009213693952,71468255805472,6052839364843538760,5725224981,0,0,43620761600,9504,0",15,
"6124895859638273365,384213344368721925,1500833377505280,-6917529027641081856,10905190440,4620728487953568068,35322146718209,0,16640,-9187255278905262080,134743296,0",16,
"5836665483486561621,384213344641351684,1412872447283200,0,303740088570880,6052839364843540804,5389680661,0,311029850340073984,2451085205839024128,16400,0",17,
"6124895859638273365,384213344641351685,1412872447283200,0,375208344376320,6052839364843541844,5389680661,0,384213344641351680,714682560716800,8224,0",18,
"6124895859638273365,311029850696581125,1500833377505280,0,375208344376320,4899917581063820628,5725224977,0,182958736079323136,1214960353218560,17680,0",19,
