Content,Index,Difficulty
"4971974075858551041,72339756478889985,282577173745674,5200,585467953739202560,288934339545137152,289356277136500740,0,2233382993920,720858514867617792,1103806599184,0",1,
"4971974075858551109,72339756478889985,282577173745674,2305843009213699152,585467953739202568,288934339545137152,289356277136500740,0,2233383002240,720858514867617792,1103806599184,0",2,
"4971974075858551041,72339756478889985,357341280079882,5200,89335320019968,288934339545138180,365917470801788932,0,72339069284122624,282574489391104,1103806599184,0",3,
"4971974075858550852,72339756478889985,720858517553025034,4112,89335319826432,288934339545138180,289359025915570180,0,72339069085941760,720858514868670464,1103817084944,0",4,
"4971974075858551109,47850746219069441,186916977418240,2720,35734128035840,-6341068092801547768,191402984876277762,0,36591747108700160,186916977254400,730144443040,0",5,
"4971974075858551109,72339756478889985,357341280358400,5200,89335320089600,275951649796,8933532008960,130,2233383002240,1052672,9147936777175040,0",6,
"-6196953041627774806,47850746219069440,357341280358400,5200,46729244354560,576460934839534248,365917470269112322,0,1168231108864,4563402769,558345750560,0",7,
"72057681279451461,72339756478892545,357341280079882,4112,70643622417408,288934339547759620,289356277136490500,0,72339069014646912,282577173745664,1103806599184,0",8,
"4971974075858551109,47850746381598721,186916977418240,2720,89335320089600,-6341068135751219948,191402984876277762,0,91479367771750400,142936512143360,730144443040,0",9,
"4971974075858551109,83598068423852033,186916977418240,2305843009213696672,35734127902728,-6917528751689431788,76561194378330112,0,-9223372036854775808,32,17825792,0",10,
"72057681279451461,72339756478892545,357341280358400,5200,70643622417408,288230652105982980,146366988434800644,0,72339069284122624,282574489391104,558345748480,0",11,
"-6196953007536471739,47850746219069440,186916977418240,2305843009213696672,10995116277768,-6341068092801547608,191402984876277762,0,11258999068426240,74766791385088,292057777216,0",12,
"-6196953041627774806,47850746219069440,357341279723520,4611686018427393104,1140850692,-6341068092801547608,146366988434800642,0,4352,186916977418240,558345750560,0",13,
"4971974075858551109,83598068394491905,357341280358400,5200,89335320089600,288230695053034500,365917471087001604,0,2233383002240,282574489391104,1395864375312,0",14,
"2954361435280376105,47850746352238593,186916977418240,2720,81638738666496,-6341068232387984220,4672924418050,68,83598068394491904,1224979098644938752,4785074604081152,0",15,
"72057681279451461,72339756478892545,720858517553025034,2305843009213698064,70643622084616,288934339547759620,289359025915570180,0,72339069014638592,720858517553025024,1103817084944,0",16,
"72057681279451461,72339756478892545,357341280079882,5200,70643622417408,288934339547759620,365917470801788932,0,72339069014646912,282577173745664,1103806599184,0",17,
"72057663025840453,72339756478892545,720858517553025034,4112,70643622347776,288934339547759620,289359025915570180,0,72339069284122624,720858517553025024,1103817084944,0",18,
"-6196953041627774806,91479367609221120,357341280358400,5200,46729244354560,576460891889861288,8933531975682,130,47850746112114688,142936512143360,9147936743096320,0",19,
"-6196953041627774806,91479367609221120,357341280358400,5200,46729244354560,1441152020344996520,365917471087001605,0,1168231108864,2341871806232657937,9147936777175040,0",20,
"4971974075858551109,47850746381598721,186916977418240,2305843009213696672,2181038088,-6341068135751220728,191402984876277762,0,8320,1224979098645307392,4785074621906944,0",21,
