Content,Index,Difficulty
"6124895859638273365,-9223372035423469563,-6737385008052305758,-6917529027641081856,612630838848258088,1152921504615763972,35321811042308,288230376151711744,4466765987841,34,0,0",1,
"6124895789845054545,384213344641351685,-6737384998925500416,0,2927339757791953920,11434920971468800,17867063951360,0,-9223372036854775808,17448304802,0,0",2,
"-8646911110068305270,4611709468948889664,6124895584827474261,4611686018427387904,4362076176,2305843707145879552,153122387901153794,0,16640,17448304640,584115554432,0",3,
"360288336604038485,4611687394164347909,1459166370871640405,1,141287244834816,577868127192221704,5499714031624,0,144678138029293824,1441151886127267840,20979744,0",4,
"6052837990454001924,288511852559728641,6142909983336955989,1,612489551604088832,2305843009256292352,731834942174003202,0,2336462209024,1064960,2791728744576,0",5,
"6124895859638273365,-9200845208181276667,-9187255244411305856,0,178670640179200,4620728487953563968,35322146718209,0,681574400,-9187255278905262080,134743296,0",6,
"360640158850090325,4611709468948829189,6142909977968247125,1,360641188301378560,2882304459449303040,731834941603577866,0,1347420160,285873023221760,2207613198368,0",7,
"6124895859638273285,4611686019858694149,6142909983336956245,1,612630838848784384,8914952,93802086094080,0,144680475030454272,34,357826560,0",8,
"5764607889448633685,4611709468948906304,4701758102578397525,1,21990233953280,2882304459449305096,578712554843406346,0,41600,4683743629913620480,68157440,0",9,
"6124895838163436885,4707405120231440389,6142909983336956160,1,141287245485056,20424527997567520,153157709712326912,0,32896,18014398509481984,1116691496961,0",10,
"6124895859638272080,361695345429708805,1442278885551001620,0,612630836566638592,279172874240,5497558305280,0,0,0,4160,0",11,
"174483047050,4611709468948911424,4701758097209688405,1,665600,2882304459449305640,35321811042314,0,16640,4683743629913620545,0,0",12,
"6124895838163436805,4611709468948824069,4683743704068915541,0,353218111738880,2305843707145879552,570687746,0,1347420160,17448304640,2176,0",13,
"5836665483486561621,4611709468948840708,4701758102578397525,1,303740088361984,2882303761534156800,35322381467658,0,1074790400,4683743612465315840,0,0",14,
"5836665483486561621,4611709468948840708,6124895584827474196,0,303740088570880,19439365596119040,9345849118976,0,1074799104,1459166279268040704,1,0",15,
"360288336604037460,4611686019858694149,6142909983336956245,1,353218110771200,5140,93802086094080,0,144678138029285888,0,2791728752800,0",16,
"6124895859638273365,4611691860657700869,6124895584827474261,0,612630836567954432,5981343255105540,153122387901153792,0,41600,149533581377536,584115552256,0",17,
"5836665483486561621,4611691860657717508,4701758102578397525,1,303740088570880,5981343272144900,88304527955200,0,288511852287098880,6124895510672179200,336855040,0",18,
"6124895859638273365,4634204016920756229,6142909983336956225,1,375208344376320,576460838202770768,731834942174003208,0,38280598263955456,327680,2791728750624,0",19,
"4508088941936980,23450521523520,4701758097209688149,1,139264,5981343255104040,35321811108864,0,0,149533581377601,0,0",20,
"351981696713354,4611709468948911424,4683743704068915541,4611686018427387904,360287970189639696,2882304459449305096,2726297610,0,0,714682560159744,10400,0",21,
"6124895584491929680,4707387511940317189,18300340320682240,1,93458488442880,2882303907546008104,70438554173450,0,2336462209024,4683743612465315905,0,0",22,
"6124895789845054805,4634226092780027909,6142909983336956225,2305843009213693953,2927339757790904352,697932185600,79783312819456,0,73183493944770560,17448304640,8224,0",23,
