Content,Index,Difficulty
"-6196953041627774806,47850746219069440,5854679532828786688,0,46729244354560,-6917528954626637552,17660905521152,0,1168231108864,278528,0,0,4456448,0,0,0",1,
"4971974075858551109,-9223369116277014527,3062447758020444202,0,89335320089600,73014444032,4672924435456,0,340787200,0,17825792,0,8519680,0,0,0",2,
"4971974075858551109,-9223369116277014527,3062447758020444202,2305843009213693952,89335319756808,2990671627550720,11682311088640,0,2233382993920,1224979098644774912,17825792,0,0,0,68,0",3,
"4971974075858551109,-9223369116277014527,3062447758020444202,0,585467951558497280,1196268651020288,11682311088640,0,8320,1224979098644774912,44564480,0,0,0,68,0",4,
"-6196953041627774806,4611686018605645824,5854679537392025681,4611686018427387904,306244775802044420,4456448,22333830022400,0,1168231108864,17,558345750560,0,1196268655476736,0,2129920,0",5,
"87241523525,-9223369116277003648,3062447758020444202,2305843009213693952,2181038088,1196268655476736,11682311088640,0,8320,1224979103208177664,44564480,0,0,4672924418048,68,0",6,
"4971974075858551109,-9223369116277014527,3062447758020444202,0,89335320089600,2990671627550720,11682311088640,0,340787200,74766790688768,292057777216,0,8519680,76561193665298432,1114112,0",7,
"4971974075858551109,-9223369116277014527,3062447758020444202,2305843009213693952,585467953739202568,2990671627550720,11682311088640,0,2233383002240,3062447746611937280,44564480,0,8519680,0,170,0",8,
"72233584886284613,-9223369116277011967,3062447758020444202,2305843009213693952,180214628716904456,1196268653641728,11682311088640,0,0,1224979098644774922,17825792,0,0,0,68,0",9,
"-6196953041627774806,47850746219069440,4629744397402677248,4611686018427387904,306244775802044420,1196268655476736,17408,0,1168231108864,1224979103208177681,0,0,1196268655476736,4672924435456,0,0",10,
"-6196953041627774806,47850746219069440,5854679515582341120,4611686018427387904,306244775802044420,-6341068092801548288,146366987889541122,0,1168231108864,74766790688768,0,0,4456448,0,0,0",11,
"87241523525,-9223369116277003648,3062447758020444202,2305843009213693952,2181038088,2990671638691840,11682311088640,0,8320,1224979098645053440,44564480,0,0,0,68,0",12,
"72057681279451461,72339756478892545,720858517553025034,0,70643622417408,288934339547759620,2749857015812,0,72339069284122624,720858517553025024,10489872,0,288230652103360512,289359025915559940,40,0",13,
"87241523525,-9223369116277003648,3062447758020444202,0,332800,1196268651020560,11682311088640,0,8320,1224979098644774912,17825792,0,0,0,68,0",14,
"72233584886284613,-9223371349390521855,3062447758020444202,0,180214628717167616,703687444399108,11682311088640,0,72339069284122624,720575943063633930,44564480,0,275951648768,2748779079680,40,0",15,
"4971974075858551109,-9223369116277014527,3062447758020444202,0,89335320089600,2990671627550720,11682311088640,0,2233383002240,74766790688768,292057777216,0,8519680,76561193665298432,1114112,0",16,
"-6196953041627774806,4611686018605645824,5854679537392025681,0,46729244354560,680,22333830022400,0,47850746040815872,0,85196800,0,1196268651020288,0,2129920,0",17,
"72057681279451461,72339756478892545,3062447749297344522,2305843009213693952,70643622084616,288934339547759620,2748779079684,0,72339069014638592,720858517553025024,10485760,0,288230376151711744,2749857005572,40,0",18,
"2883434070207889578,4611690433695727680,5854679537392025681,4611686018427387904,1157436099350495236,4521191830257824,22333830022400,0,4622945017495814144,4629700434183848000,85196800,0,0,17660905586944,257,0",19,
"-6196953041627774806,4622945017674072064,4629744414649122880,0,46729244354560,-6917528984691408216,17661073359104,0,47850746040815872,43980465274880,67371648,0,-6917529027641081856,45035996441477120,0,0",20,
"4971974075858551109,-9223369116277014527,3062447758020444202,0,89335320089600,2990671627550720,4672924435456,0,340787200,1224979098644774912,17825792,0,8519680,0,68,0",21,
