Content,Index,Difficulty
"72762657211421973,1442562008717240848,10758410280,-6917529027641081856,720575974772572320,1443971029656420356,41040,288230376151711744,4,2886808471410315304,0,0",1,
"72762657211421973,1153214666190662160,10758410280,-6917529027641081856,720575974772572320,291049525083652100,41024,0,131200,2886808471410315304,0,0",2,
"-6196952354433004886,4611686021290000394,362186540357,0,750416687288320,2882303761584489088,10779361320,0,45035996818964480,72057594037927936,269484033,0",3,
"72059042784089365,1153214666190662160,45650809002,0,1126174790276096,300197461800009732,69696,0,1153202979583722112,4803766318534656,0,0",4,
"1448746161429,-9223325135811728768,183207199402,-6917529027641081856,43117445280,22869841942937600,698880,0,164480,4971974075858550784,1,0",5,
"-6341067542508860758,4803159389227974722,362186540032,4611686018427387904,74784037666897,76860261096555584,10779361280,576460752303423488,76561193665298434,274945015808,269484032,0",6,
"1448746161429,-9223325135811728768,183207199402,-6917529027641081856,43117445280,48026668080168960,698880,0,164480,4901046710790275072,16448,0",7,
"-6196952354433004886,4656722017563705354,362186540289,0,1225261673135908864,17833992,1312000,0,83200,68,32800,0",8,
"-6196952354433004886,4656810061698433034,362186540289,0,357341281822720,90160125276324480,1312000,0,1363148800,90071992548065280,5,0",9,
"72059042784089365,1153214666190662160,45650809002,0,1126174790276096,300197461826748420,174144,0,1153202983879606784,-6192448369852411904,0,0",10,
"-6894988996254874968,4656810061698761024,343933584641,0,607480174346257,-8646908911581912440,8598323234,0,622059698530549760,2429920706437120,32800,0",11,
"-6323049296178429272,4803159389227974722,274947802112,0,4578435155009536,4683761496977638465,1048836,0,4688317598301945856,18313740618368000,4,0",12,
"705063173494037,-9223325135811728768,183207199402,-6917529027641081856,34393292960,5764607815159383104,5452595220,288230376151711744,4,299067164884992,20800,0",13,
"1448746161429,-9223325135811728768,183207199402,0,2631680,5764608918898611280,5452595220,0,65792,1429365121433600,20800,0",14,
"-6196952354433004886,4611774065424728074,362186540357,4611686018427387904,4629700438747250769,90159953477632640,1381632,0,17660905604352,90071992547409920,5,0",15,
"72762657211421973,1153214666190662160,45650809002,-6917529027641081856,720575974772572320,300197461800009732,174144,288230376151711744,4,4904421111988490240,0,0",16,
"72059042784089365,1153214666190662160,45650809002,2305843009213693952,34393571456,300197461826748420,174144,0,131200,4803766319648768,4352,0",17,
"-6323049296245552470,4611756405064728642,362186540357,4611686018427387904,4690516604256320,72075186492476065,657920,0,4803089002758406144,274945016832,16448,0",18,
"-6341067542508860758,4611774065424990274,362186540357,4611686018427387904,186916976722001,90159953746133632,1381632,576460752303423488,45035996273704962,274945015808,41120,0",19,
"360993033363133717,1442562009795143700,10758410280,-6917529027641081856,-8493788862827462496,1443966630670499840,41040,0,-9223336818122817408,2918332569273500200,2,0",20,
"-6899510048548975958,4656810061698761024,343933584641,0,4547580093177856,-9133211911242579327,524802,0,45035996273722368,2429920706437120,0,0",21,
"-6196952354433004886,768426689282703370,362186539008,4611686018427387904,5854679537392025681,22869841942937600,10779361280,0,22333829972480,34896609410,269484032,0",22,
"-6196952354433004886,4611686021290000394,362186540357,0,750416688752640,576460752303434408,8598456352,0,22333830022400,325,32800,0",23,
"1448746161429,-9223325135811728768,183207199402,0,5526528,48026668080168960,698880,0,164480,-6160924152668553216,2,0",24,
"12006666977940485,-9223325135811728768,183207199402,2305843009213693952,-6151917088303742848,40849056174047232,698880,0,-9223369288075706368,4935945347424846506,2,0",25,
"-6196952354433004886,4656722017563705354,362186540289,4611686018427387904,74784037666897,171798702760,1312000,576460752303423488,76561193665298434,655617,32800,0",26,
"-6196952354433004886,4611686021290000394,362186540357,4611686018427387904,5854679537392025681,85196800,1381632,576460752303423488,146366988434800642,2129920,41120,0",27,
"-6899510048481852760,4656810061698761024,343933584641,0,44049201365009,-8646908911581912440,8598323234,0,45035996273704960,2429920706437120,32800,0",28,
"-6894988996238032736,4611774065425056064,362186540357,0,4634248083012747264,90159953813504641,1381632,0,4656810061698433024,90072336480339201,5,0",29,
"-6323049296178429272,4611774065424990274,362186540357,0,4690585341042688,90159953746133633,1381632,0,4611761077275870208,2253998836941824,41120,0",30,
"-6894988996321998166,4611774065425056064,362186540357,4611686018427387904,-9214320857134923695,90159953611981440,1381632,576460752303423488,-9178336040581070846,2253998836941312,41120,0",31,
"72762657211421973,1153214666190662160,45650809002,0,1126174789997568,300197461782185028,174144,0,1153202983879573504,4803766318534656,4352,0",32,
"-6196952354433004886,4611686021290000394,362186540357,0,750416688752640,2882303761517128360,10779361320,0,768426689282703360,0,41120,0",33,
"1448746161429,-9223325135811728768,183207199402,-6917529027641081856,43117445280,48026668080168960,698880,0,65792,-6160924203001315328,2,0",34,
"-6894988996254874968,4656810061698761024,362186540289,0,-9214320788398505984,90160125410673280,1312000,0,-9178336040413298688,36028934592791040,2,0",35,
"-6894988996321998166,4611774065425056064,362186540357,4611686018427387904,4634247997029515328,2201170739841,657920,0,622059698698321920,0,16448,0",36,
