Content,Index,Difficulty
"-6269010541713290742,1344605969288527890,5934064274673664,18764712202576,142936512143360,293015450890142336,176609055281216,2570,545259520,4899916394579099648,180847672536596480,0",1,
"-6894988996238032736,768426689282703360,3001666755010560,687194811040,44066448506880,-9205287097735052672,306315418954630146,2622468,45035998591057920,72233584886939648,72339069284125185,0",2,
"-6557240781499792380,1487595257457541140,5934064276754432,23179938582864,282574489391104,-8646905609825791340,2308130560339345442,139620024840,289356277136490496,2429920719032320,72339069014638592,1052672",3,
"-6341068092801547608,768426687133122562,5934064277213184,23179938582864,1224979103208177681,4629771077738823680,6076481819866300420,75644928,4672924435456,299067162755072,-8070427352309427968,288",4,
"1441153329504720149,1344605969405968389,3001666755010560,2305845242596698752,74801184514176,-9223367345676741552,70644293436418,272,65792,130,269486592,0",5,
"-6269009398983552503,1344605968755851282,3001666745958400,11038065994400,1126179352347648,2305848138478406308,3073706747861401608,42106880,1153202983879573504,18270392388,-6917526794258079616,160",6,
"1513210923542643988,191402989822410773,3001666755010560,-9223369803471738208,2342997989741559840,-6917529027606986748,3073706757130813450,8519680,1153211913115566592,130,-9223360311594046848,32",7,
"-6196952354433007096,768426686587863050,5810918974443520,23179938582864,1225261677696516096,-9205287097802424320,5770237023240061442,88424448,8933531975680,175921860444160,2305843009213696512,532608",8,
"-6894988996254875488,768426686588191040,2429920708567040,11725260761760,-9214320788398505984,-6341068103538965888,9269411882,348966094100,45035996441477120,175921861099520,-9223372036854740448,8724152352",9,
"720576630258404010,768426689282703370,5934064266289152,4611691601884893504,17246978129,-6341065344022468568,176609055211562,576460891889861128,2,3001666754355200,4415226380288,532480",10,
"1513209823762579728,1487595257457541141,5252367065452544,9491877767840,142936511889408,-8935135985977503724,18708881735746,33587472,-9223372036854775808,4680620999442944,19140298416390160,0",11,
"-6196952354433005566,768426689282703370,4680621016879104,23179938581072,5854679537392025600,22869841942937600,4792955921284202496,139620024320,22333829939200,571746046443845,18283675779072,0",12,
"1513210923542646785,768426691429138453,3001666755010560,687194811040,1483516067972096,-6341067545193199580,70644293173290,1300,44152263802880,4971974006870638592,72339069014638593,0",13,
"-6196952354433004886,622059701393162250,90248258341437440,687464253957,750416688752640,-9223369663885333848,180284860693217282,2622468,22333830022400,175921861099777,687194769920,10",14,
"-6341068092801547608,768426687133122562,5810918963978240,23179938582864,186916976721937,-6341067545193215328,5770237027551281194,88424448,191402984163246080,4971973988619812864,4415226380289,2631680",15,
"-6196952354433004886,334392273577967626,5934064277213184,4611703614908485968,5854679537392025681,1152922780212133888,6076481819866300432,67125248,146366987889624320,1130297953353728,1152944684545359936,256",16,
"1513210923542643988,1344605969405968405,3001666755010560,-9223363232171777888,563508433387552,4789473724344360,2893562772035993600,33587200,577023702256878080,0,2305847424511377408,128",17,
"-6894988996238032736,191473370800586816,3001666755010560,687194811040,4547666075877376,4785074890407937,3073706757130813440,2621440,4611756404519206912,18253612032,11725260718080,10",18,
"-6196951638515642095,768426689282703370,3001666746613760,11038065991840,638266504397824,-6917526096325891416,2893562763437670410,42106880,577023702542057472,4899916481820622916,72339069085941760,1052672",19,
"-6341068092801547608,768426687133122562,5934064274673664,23179938582864,74766791385088,-6917528297496640448,6076481815554555914,88424448,76561193665315840,4899916394580213760,5764626287746351104,337",20,
"-6557239608705280747,1344605969288527892,747667928535040,-9223369803471740768,-9214364828873783264,-8935141488770022784,671088706,1028,-9223372036854710016,175921861100032,2560,0",21,
"-6557239638770053119,1487595257457541140,3001666755010560,8804683000480,607480178541568,-8646908911581912440,180214629387993122,1028,622059698530549760,2429920706437120,72339756209408512,0",22,
"1513210647590995220,768426688854884373,3001666746613760,-9223360311594014048,1200941575438368,-6917526534412557240,1337569090469888010,21299200,76561193665298432,299067172265984,4611686018427392256,64",23,
"-6196952494019442006,4803089005453246474,18762341364171776,688268773892,607480176445457,4611686310485174952,180425529932906756,2625537,45035998423285760,299067163869441,288300745969897728,10",24,
"-6773413106736430584,768426689282703368,5810918963978240,22011707478352,21810380800,-6341065344022470008,5770237031837859882,83968000,545259520,72233584886939648,5764616327717194241,320",25,
"-6557239608705280747,768426691429138452,3001666755010560,8804682989600,-9214364837594508288,-6341067545193217408,2308094820477829162,33587200,164480,747667907543040,2305843009483182336,128",26,
"-6773413106736428374,768426688737443848,90248258341437440,11725260720645,607480175677440,22869841857749640,180496173084180480,348966092800,622059698530583040,571746046443520,9491877724160,8724152320",27,
"-6341067585458535768,768426688737443842,5934064277213184,23179938582864,142936512143360,576463125272855168,4612847669646329888,139653562888,545259520,2253998837596160,1189530848196558848,532736",28,
"-6341068232387982678,1344605968755851266,4803766323859456,4611709198365970768,43980465274944,288235067329743520,4919056710179620928,75644928,45035996441477120,4504699140112384,1152939101087924240,256",29,
"-6773413106736428894,4803089005453246472,90248258341438464,2921651767813,21810380800,-9223371744796990840,180496173085229314,2625537,545259520,0,9491877726720,10",30,
"-6773413106736430424,4656722017563705352,18190664303510785,2921651776132,43997712252928,-9223371864988712320,180425529463407874,11145217,45035996441477120,175921861099520,288301433164663296,10",31,
"648519585707855873,1344605968755851282,5252367065452544,22698902243920,1269111300555776,4899921085757147172,4792955921753964612,86589440,1299569971769114624,4803766318534656,1152939101087928592,266",32,
"576461485132221098,768426689114931202,2825744894566400,4611709198365970768,21810380881,4787275774822432,70643622417408,88424448,83200,4899916394579099648,269484032,2631680",33,
"-6269009441933225463,1487595256924864530,5934064260431872,18764712202576,1269111301088256,1152926075525809220,6076481802682236944,71581696,1153202984424833024,16781312,180847672672911360,0",34,
"-6773413106736428534,768426689282703368,90248258341437440,4611686706965645829,21810380864,-9223369105539587448,2488238803391610882,36208640,65792,87241523200,2305852501091420672,138",35,
"1513210923542648085,768426689282703381,3001666755010560,-9223363232171786208,1126183511001120,1152922780212139088,2308113505036865552,33587200,33280,1130297953353858,2305843009285013568,128",36,
"-6196952354433004886,768426689114931210,3001666746613760,4611688939005223056,5854679537392025681,4611688777943875584,585467952699015172,576460752311943168,146366988434800642,68987912192,-9223372036854771456,32",37,
"-6341068092801545558,768426689282703362,5076445196623872,4611708030134866256,4563402833,-6341065344022476128,4612811920515268650,576460752370549256,2,1429365118894080,1152921504606855296,256",38,
"-6557239608705280747,191402987025858580,747667909672960,-9223369116276970848,563508437582880,-6917528297496632696,765611939505111050,11141120,577023702256878080,747667907543040,-9223369116277003648,42",39,
"-6894988996238032736,768426686588191040,3001666755010560,8804683000480,-9214320822741467136,-6341068103538965888,306315419424129066,1028,45071215173304320,72233515899027456,72340237245747457,0",40,
"-6845470700774356470,1487595256924864528,5252367067533312,4611697743688108544,43997712089152,-7782215585177255292,18708881735762,348966092800,45035996273770752,4680621016879104,65552,8724152320",41,
"720576673208074760,768426687133122570,3001666755010560,23179938582864,706436221378560,581245826907506720,89335319826464,689879124490,146366988434800640,4899916394579099648,72339069085941760,1052672",42,
"-6196952947675362646,768426689282703370,2825744886169600,23179938582864,142936512143360,-6917526096325891416,1157425106415255562,88424448,545259520,18257821764,8320,2631680",43,
"-6196952536969115646,1344605966609416202,5252367067533312,11725260794512,563499711334400,-9223371306710324568,5378423855658828290,275956105216,577023704406425600,175921863229440,687194769920,17",44,
"1513210850528204053,768426689282703381,3001666755010560,-6917520222958083936,-9214364803206741856,22869841925112896,2893562772035993600,33587200,35218731958400,68987912192,2305854047279644672,128",45,
"1513210923542648085,768426689282703381,3001666752225280,2233383037600,1483516066408448,576463683618608208,3073706754278686752,8519680,365917469723918592,2253998842265600,19149103099314208,0",46,
"1297038141428864277,768426689282703369,2429920708567040,8804683000480,638266502555648,18085059378807872,2308094809027712000,33587472,76561193665364224,68989026304,2305843009213702272,128",47,
"-6269009991420606462,1344605968755851282,5934064276754432,22011707478352,17246978048,293019849876063300,2308130560339345472,83968000,0,4504699155779584,2305843009213759504,128",48,
"-6269009991420607992,1344605968755851282,5076445205008384,23179938582864,1224979115891752960,293019849893888004,4612811935518363712,139620024840,0,4904421111988490308,17596481077264,1052672",49,
"-6196952947675364856,768426689282703370,5810918963978240,23179938582864,142936512143360,-6341065344022467928,140875598397482,689879124490,545259520,1429365117223169,144255925564213760,2631680",50,
