Content,Index,Difficulty
"6124895516040888405,23925373109534720,348160,2305843009213693952,23364622090242,6052837990454002004,1,0,584115552256,93458488709120,0,0,0,2336462217728,0,0",1,
"6124895516040888405,23925373109534720,348160,2305843009213693952,570425346,6052837990454002004,1,0,2176,93458488709120,0,0,0,2336462217728,0,0",2,
"6124895516040888405,23925373109534720,348160,0,23364622177280,-8646911193283296940,0,0,23925373020407936,37383395692544,0,0,-8646911284551352320,142606336,0,0",3,
"6124895516040888405,23925373109534720,348160,2305843009213693952,153122387901022210,598134327738368,8704,0,-9223371452739221376,612489551604088840,0,0,598134327738368,2336462217728,0,0",4,
"6124895516040888405,23925373109534720,348160,0,23364622125056,6052837990454002004,1,0,23925373056057344,93458488709120,0,0,6052837935693168640,356515841,0,0",5,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,93458488709120,0,0,6052837990454001664,356515841,0,0",6,
"6124895516040888405,23925373109534720,348160,0,9345848923136,6052837990454002004,1,0,9570149208164480,93458488500224,0,0,-8646911284551352320,142606336,0,0",7,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,584115554432,93458488709120,0,0,2228224,356515840,0,0",8,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,93458488709120,0,0,-8646911193283297280,142606336,0,0",9,
"6124895516040888405,23925373109534720,348160,0,23364622125056,6052837990454002004,1,0,584115552256,93458488709120,0,0,0,2336462217728,0,0",10,
"6124895516040888405,23925373109534720,348160,2305843009213693952,23364622090242,6052837990454002004,1,0,9570149208162304,93458488500224,0,0,-8646911284551352320,142606336,0,0",11,
"6124895516040888405,23925373109534720,348160,0,23364622125056,6052837990454002004,1,0,-9223371452739223552,612489551604088840,0,0,598134325510144,2336462217728,0,0",12,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,37383395483648,0,0,-8646911248044130304,142606336,0,0",13,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,37383395692544,0,0,598134327738368,8704,0,0",14,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,93458488709120,0,0,6052837899188174848,356515841,0,0",15,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373109534720,93458488709120,0,0,598134327738368,2336462217728,0,0",16,
"6124895516040888405,23925373109534720,348160,2305843009213693952,23364622090242,-8646911193283296940,0,0,23925373020405760,37383395692544,0,0,6052837899185946624,142606337,0,0",17,
"6124895516040888405,23925373109534720,348160,2305843009213693952,23364622090242,6052837990454002004,1,0,23925373020405760,93458488709120,0,0,6052837899185946624,356515841,0,0",18,
"6124895516040888405,23925373109534720,348160,0,23364622177280,6052837990454002004,1,0,23925373056057344,93458488709120,0,0,6052837935693168640,356515841,0,0",19,
