Content,Index,Difficulty
"-6196953041627774806,47850746219069440,5854679515582341120,4611686018512584704,18691697672196,1152921687142957736,1,130,0,4563402769,0,0,0,17408,0,0",1,
"72057681279451461,-9223369116277011967,3062447758020444202,44564480,70643622217728,1152921504609468416,76561193950511105,1114112,0,0,4611686310485165120,4,0,0,299067163869184,0",2,
"72057681279451461,-9223369116277011967,3062447758020444202,44564480,70643622417408,2990671630172160,4672924435456,68,8320,1224979101329129472,4785074621906944,0,0,0,18253611076,0",3,
"87241523525,-9223369116277003648,3062447758020444202,44564480,133120,2990671638691840,4672924435456,68,0,1224979103208177664,4785074621906944,0,0,4672924418048,18253611076,0",4,
"-6196953041627774806,47850746219069440,5854679537392025600,85196800,46729244354560,182536110760,22333829939200,325,47850746219069440,696320,22869841857740800,0,1152921687142957056,1,571746046443520,0",5,
"-6196953041627774806,4622945017674072064,5854679537392025664,4611686018512584704,306244775802044420,42949672960,22333830004992,325,1168231108864,0,2305843567559442432,8,4456448,0,571746046443520,0",6,
"4971974075858551109,-9223369116277014527,3062447758020444202,44564480,89335320089600,2990671627550720,11682311088640,170,2233383002240,74766790688768,11962686554767360,0,8519680,0,18253611008,0",7,
"4971974075858551109,-9223369116277014527,3062447758020444202,44564480,89335320089600,1196268651020288,11682311062528,170,2233383002240,1224979098644774912,4611686310485164032,4,8519680,0,299067162755072,0",8,
"72057681279451461,-9223369116277011967,3062447758020444202,44564480,70643622417408,73014444032,11682311088640,170,8320,0,4785074621906944,0,0,0,18253611008,0",9,
"-6196953041627774806,47850746219069440,5854679515582341120,85196800,18691697741824,182536110352,17408,325,19140298487627776,278528,2305843009213693952,8,1152921577621291008,1,0,0",10,
"87241523525,-9223369116277003648,3062447758020444202,2305843009258258432,2181038088,2990671638691840,4672924435456,68,8320,1224979103208177664,4785074621906944,0,0,4672924418048,18253611076,0",11,
"-6196953041627774806,47850746219069440,5854679515582341120,85196800,46729244354560,1196268651020560,146366987889558528,2129920,19140298487627776,1224979098644774912,2305843009213693952,8,73014444032,0,0,0",12,
"4971974075858551109,72339756478889985,720858517553025034,10489872,89335320089600,288934339545138180,289359025915570180,40,72339069355425792,720858514868670464,2815853584191504,0,288230376160231424,289356277136490500,10741628968,0",13,
"72057681279451461,72339756478892545,720858517553025034,10489872,70643622417408,288934339547759620,289359025915570180,40,72339069014646912,720858517553025024,2815853584191504,0,288230376151711744,289359025915559940,10741628968,0",14,
"72057681279451461,72339756478892545,720858517553025034,10489872,70643622417408,288934339547759620,289359025915570180,40,72339069284122624,720858517553025024,2815853584191504,0,288230652103360512,289359025915559940,10741628968,0",15,
"-6196953041627774806,47850746219069440,5854679515582341120,85196800,46729244354560,-6341068092801547608,146366987889541122,2129920,47850746219069440,186916977418240,2305843009213693952,8,-6341068092801548288,713031682,0,0",16,
"72057681279451461,72339756478892545,720858517553025034,10489872,70643622217728,288934339547759620,289359025915570180,40,72339069014638592,720858517553025024,2815853584191504,0,288230376151711744,289359025915559940,10741628968,0",17,
"4971974075858551109,-9223369116277014527,3062447758020444202,2305843009258258432,35734127902728,1152921577621291008,285212673,170,0,74766790688768,4611686018427388992,4,0,76561193665298432,0,0",18,
"72233584886284613,-9223369116277011967,3062447758020444202,44564480,180214628717167616,2990671630172160,11682311088640,170,269484032,3062447749296291850,11962686554767360,0,0,2748779079680,299067163869184,0",19,
"72233584886284613,72339756478892545,720858517553025034,10489872,180214628717167616,288934339547759620,289359025915570180,40,72339069284122624,720858517553025034,2815853584191504,0,288230652103360512,289359025915570180,10741628968,0",20,
"4971974075858551109,72339756478889985,3062447749297344522,44564480,89335320089600,288934339545138180,2748779079684,68,72339069355425792,720858514868670464,10485760,0,288230376160231424,1077936132,40,0",21,
"4971974075858551109,72339756478889985,720858517553025034,10489872,89335320089600,288934339545138180,289359025915570180,40,2233383002240,720858514868670464,2815853584191504,0,8519680,289356277136490496,10741628968,0",22,
"4971974075858551109,-9223369116277014527,3062447758020444202,2305843009258258432,585467953739202568,1152921577621291008,76561193950511105,1114112,2233383002240,74766790688768,4611686310485165120,4,8519680,76561193665298432,299067163869184,0",23,
"-6196953041627774806,47850746219069440,5854679537392025600,85196800,46729244354560,73014444712,22333829939200,325,19140298487627776,278528,22869841857740800,0,1152921577621291008,1,571746046443520,0",24,
"87241523525,-9223369116277003648,3062447758020444202,44564480,332800,1196268662161408,11682311088640,170,8320,1224979103208177664,4785074621906944,0,0,4672924418048,18253611076,0",25,
"72057681279451461,-9223371349390521855,3062447758020444202,44564480,70643622417408,1152921504609469444,285212673,170,72339069284122624,0,4611686018427388992,4,275951648768,0,0,0",26,
