Content,Index,Difficulty
"72057681279451461,72339756478892545,357341280358400,1088,70643622417408,288230652105982980,8933531975684,0,72339069284122624,282574489391104,0,0,288230652103360512,1077936132,0,0",1,
"2954361442796568901,47850746219069441,186916977418240,2720,70643622217728,1196268655476736,191402984163263488,0,0,1224979103208177664,4785074604081152,0,0,4672924418048,0,0",2,
"-6196953041627774806,47850746219069440,357341280358400,4611686018427393104,46729244180484,576460934839534248,146366988434800642,0,1168231104512,142936512307200,558345750560,0,0,146366988434800640,2129920,0",3,
"72057681279451461,72339756478892545,357341280358400,2305843009213699152,2181038088,288230652105982980,365917471087001604,0,8320,282574489391104,1395864375312,0,0,289356277136490496,4210688,0",4,
"-6196953041627774806,47850746219069440,357341280358400,4611686018427393104,306244775802044420,1196268655476736,8933532008960,130,1168231108864,4563402769,9147936777175040,0,1196268655476736,17408,34896609280,0",5,
"-6196953041627774806,83598068261322752,326554954665984,5200,46729244354560,-6629298608539696472,289356277304262660,0,1168231108864,43980465111057,1103806599824,0,1196268655476736,45035996273704960,4210688,0",6,
"72057681279451461,72339756478892545,282577173745674,4112,70643622417408,288934339547759620,289356277136500740,0,72339069284122624,720858517553025024,1103806599184,0,288230652103360512,289359025915559940,4210688,0",7,
"4971974075858551109,72339756478889985,720858517553025034,4112,35734128035840,288934339545138180,289359025915570180,0,136314880,720858514868670464,1103817084944,0,0,289356277136490496,4210728,0",8,
"4971974075858551109,72339756478889985,357341280079882,5200,89335320089600,288934339545138180,365917470801788932,0,72339069150953472,282574489391104,1103806599184,0,288230376151711744,289356277136490500,4210688,0",9,
"4971974075858551109,47850746219069441,186916977418240,2720,585467951558497280,-6341068202323214336,191402984876277762,0,8320,74766790688768,4785074621906944,0,0,0,18253611008,0",10,
"4971974075858551109,91479367742390273,357341280358400,5200,89335320089600,1441152156710208516,365917471087001605,0,2233383002240,282574489391104,1395864376400,0,8519680,289356277136490496,2129920,0",11,
"-6196953041627774806,83598068261322752,357341280243712,5200,46729244354560,-6629298608539696472,365917470801788932,0,1168231108864,43980465111057,1103806599184,0,1196268655476736,0,4210688,0",12,
"2954361442796568901,83598068394491905,326554954665984,5200,70643622417408,-6629298332588047196,289356277304262660,0,72339069014646912,326554954665984,1103806599824,0,288230376151711744,334392273577967620,4210688,0",13,
"72233584886939905,72339756478892545,282574489669632,5200,180214629388256256,288230652105982980,289356277136490500,0,72339756478889984,282574489391114,1103806599184,0,288934339545137152,289356277136490500,4210688,0",14,
"4971974075858551109,47850746219069441,186916977418240,2305843009213696672,35734127902728,1196268655476736,191402984163263488,0,0,1224979103208177664,4785074604081152,0,0,4672924418048,0,0",15,
"4971974075858551109,72339756478889985,357341280079882,5200,89335320089600,288934339545138180,146366988967477252,0,72339069355425792,282574489391104,4112,0,288230652103360512,289356277136490500,0,0",16,
"4971974075858551109,47850746219069441,186916977418240,2305843009213696672,89335319756808,1152921577621291280,191402984876277761,0,19140298416324608,74766790967296,292057777216,0,1152921504606846976,76561193950511105,1114112,0",17,
"-6196953041627774806,47850746219069440,357341280358400,5200,46729244354560,576460934839534248,146366988434800642,0,1168231108864,142936512307200,558345750560,0,4456448,146366988434800640,2129920,0",18,
"4971974075858551041,72339756478889985,357341280358400,5200,89335320019968,288230652103361540,365917471087001604,0,72339069284122624,282574489391104,1395864375312,0,288230652103360512,289356277136490500,4210688,0",19,
