Content,Index,Difficulty
"6124895516040888405,23925373109534720,360359438445793280,2305843009235976192,570425346,-8646911248044129964,272629760,20,2176,37383395483648,0,0,0,142606336,0,0",1,
"6124895516040888405,23925373109534720,1531223874648412160,2305843009235976192,153122387901022210,598134327738368,1374389534720,85,-9223371452739221376,2281701384,1407374883553280,0,598134327738368,8704,0,0",2,
"4683831590843842645,18296217151735040,360359439787888645,2305843009218937872,9345848836098,288582289667129604,38280597105284097,0,0,360359438445584384,1040,0,0,73183493944770560,0,0",3,
"6124895516040888405,4611686362092929024,1531223879010222101,2305843009235976192,23364622090242,351843720888580,2336462217728,85,584115552256,0,2392537310953472,0,0,0,9126805504,0",4,
"6124895516040888405,23925373109534720,1531223879010222080,2305843009235976192,153122387901022210,36507222016,2336462209024,85,584115554432,0,2392537302040576,0,2228224,0,0,0",5,
"4683743635282329685,4611687478716269824,1531223879010222101,2305843009235976192,570425346,1495335815086080,2336462230784,34,2176,612489550664564736,2392537310953472,0,0,0,9126805538,0",6,
"6124895516040888405,23925373109534720,1531223877668126720,22282240,23364622177280,598134327738368,38280596832649216,557056,584115554432,2281701376,2305843009213693952,2,2228224,0,0,0",7,
"6124895516040888405,23925373109534720,360359439787888640,2305843009218937872,153122387901022210,598134327738368,73184868606935040,20,-9223371452739221376,2281701384,1407654056427520,0,598134327738368,8704,0,0",8,
"6124895516040888405,23925373109534720,1531223873306316800,2305843009235976192,153122387901022210,6052837990454001664,1,85,584115554432,93458488360960,2305843009213693952,2,2228224,2336462209024,0,0",9,
"6124895516040888405,18296217151733760,1531223879010222085,22282240,23364622177280,351913514107140,5841155527680,85,18295873575321600,360287970189905920,2392537307283456,0,288230445944930304,1,20,0",10,
"6124895516040888405,23925373109534720,1531223879010222080,2305843009235976192,153122387901022210,91268055040,142606336,34,584115554432,2281701376,0,0,2228224,0,0,0",11,
"6124895516040888405,23925373109534720,360359438445793280,22282240,23364622177280,6052837935693168776,272629761,20,9570149243813888,37383395483648,1040,0,-8646911248044130304,142606336,0,0",12,
"6124895516040888405,4617315518050729984,1531223879010222096,22282240,23364622125056,21474836616,2336462225664,34,9570149243813888,0,2392537302040576,0,36507222016,0,0,0",13,
"6124895516040888405,4617315518050729984,1531223877668126736,22282240,23364622177280,5764607544509071700,4466766004480,85,9570149243813888,21990232637440,4573968388587520,0,36507222016,83886080,17448304640,0",14,
"6124895516040888405,4611687478716268544,1531223879010222101,22282240,23364622177280,1495335813775360,5841155544320,85,35651584,1531223873305968640,5981343277383680,0,0,0,9126805538,0",15,
"6124895516040888405,4617315518050729984,1170957897711042576,2305843009230733632,153122387901022210,5764607523036463104,22522464986743040,65,-9223371452739221376,8,4574054287933760,0,598134327738368,0,17448632320,0",16,
"6124895516040888405,23925373109534720,1531223879010222080,22282240,23364622177280,91268055380,5841155522560,85,23925373056057344,139264,2305843155242582016,2,-8646911248044130304,0,149533581377536,0",17,
"6124895516040888405,23925373109534720,1531223879010222080,22282240,23364622177280,36507222356,38280596975255552,557056,-9223371452739221376,8,2305843155242582016,2,598134327738368,0,149533581377536,0",18,
"6124895516040888405,18296217151733760,1531223874648412165,22282240,9345848923136,598134325510404,1374389539840,85,2176,0,1407374888796160,0,0,0,5368709120,0",19,
"87978378526805,4611687478716273984,1531223879010222101,2305843009235976192,90071992547409922,598134327738368,5841155531264,85,0,612489551604088832,2305843155242582016,2,0,2336462209024,149533581377536,0",20,
"285878391930965,4611687478716273984,1531223879010222101,22282240,292733975779102720,1495335819345920,5841155544320,85,4611686018427387904,37383395344400,2305843155242582560,2,0,38280596832649216,149533581934592,0",21,
"22817013845,4611687478716273984,1531223879010222101,22282240,87040,598134331080704,5841155544320,85,2176,612489551604088832,2392537310953472,0,0,2336462209024,9126805538,0",22,
"6124895516040888405,4611686362092929024,1531223879010222101,22282240,23364622177280,351843720888580,5841155544320,85,18295873575321600,360287970189639680,2392537324322816,0,2228224,0,557056,0",23,
"1441151903575572565,4617316634674073664,1531223877668126736,22282240,5497558173696,5765751036606218320,4466766004480,85,5629499534213120,1170957897711042560,4573968388587520,0,5764607523034234880,4466849873920,17448304705,0",24,
"6124895516040888405,18296217151733760,360359439787888645,5243920,23364622177280,288582289665818884,73184868606940161,20,18295873575321600,360359438445711360,1407654061671440,0,288230376153939968,73183494217400321,5369774100,0",25,
"22817013845,4611687478716273984,1531223879010222101,22282240,87040,1495335819345920,38280596975255552,557056,2176,5704253440,2305843155242582016,2,0,142606336,149533581377536,0",26,
"6124895516040888405,23925373109534720,1531223874648412160,2305843009235976192,23364622090242,288230467419767124,1374389534721,34,-9223371452739223552,2281701384,0,0,598134325510144,8704,0,0",27,
"1441151903575572565,4611687478716272704,1531223879010222101,2305843009235976192,5497558138882,1495335818035200,2336462230784,34,0,1531223877668044800,2392537310953472,0,0,38280596832649216,9126805504,0",28,
"6124895516040888405,18296217151733760,360359439787888645,5243920,23364622177280,-8646911248044130044,38280596975255552,0,584115554432,37383395344384,146028888608,0,2228224,38280596832649216,557056,0",29,
"6124895516040888405,4611687478716268544,1531223879010222101,22282240,23364622177280,-8646911248044130304,5841155522560,85,584115554432,37383395344384,5981343255101440,0,2228224,0,149533581377536,0",30,
"6124895516040888405,4611687478716268544,1531223879010222101,22282240,23364622177280,1495335813775360,5841155544320,85,584115554432,37383395344384,2305843155242582560,2,2228224,38280596832649216,149533581934592,0",31,
"6124895516040888405,23925373109534720,1170957897711042560,2305843009235976192,23364622090242,598134325510484,142606336,65,23925373020405760,0,0,0,598134325510144,0,0,0",32,
"87978378526805,4611687478716273984,1531223879010222101,2305843009235976192,90071992547409922,598134327738368,2336462217728,34,0,612489551604088832,2392537310953472,0,0,2336462209024,9126805538,0",33,
"285878391930965,4611687478716273984,1531223879010222101,2305843009235976192,292733975779082242,1495335819345920,5841155544320,85,4611686018427387904,1531223875587670032,5981343277383680,0,0,38280596832649216,9126805504,0",34,
"22817013845,4611687478716273984,1531223879010222101,2305843009235976192,570425346,1495335819345920,5841155544320,85,2176,1531223879010222080,2392537310953472,0,0,38280596975255552,9126805504,0",35,
"373833953443925,4611687478716273984,1531223879010222101,2305843009235976192,382805968326492162,1495335819345920,5841155544320,85,4611686018427387904,612489551604088853,2392537310953472,0,-8646911284551352320,2336462209024,9126805538,0",36,
"6124895516040888405,4617315518050729984,1531223877668126736,22282240,23364622177280,5764607544509071700,4466766004480,85,-9223371452739221376,21990232555528,4573968388587520,0,598134327738368,0,17448304640,0",37,
"6124895516040888405,4617316634674069504,1170957897711042576,2305843009235976192,153122387901022210,-8646911248044130304,142606336,65,584115554432,37383395344384,544,0,2228224,38280596832649216,0,0",38,
"4683743635282329685,4611687478716269824,1531223879010222101,22282240,17867064038400,1495335815086080,5841155544320,85,2176,1531223874648145920,5981343277383680,0,0,1374389534720,9126805589,0",39,
