id,name,param
146100002,CTDotClickUsrDataGameEndTrait,"{""firing"": 1}"
146100003,CTDotClickGameEndInfoTrait,"{""firing"": 1}"
146100004,CTDotFirstClickDataGameEndTrait,"{""firing"": 1}"
146100005,CTDotDeadReportToUsrDataGameEndTrait,"{""firing"": 1}"
146100401,CTAgloStrategyTrait,"{""firing"": 1}"
146100402,CTAgloReviveTrait,"{""firing"": 1}"
146100408,CTGameComboScoreTrait,"{""firing"": 1}"
146100409,CTChapterWinOverTrait,"{""firing"": 1}"
146100410,CTLowDeviceEffectTrait,"{""firing"": 1}"
146100411,CTAdvertisementMultipleCallTrait,"{""firing"": 1}"
146100413,CTAdvertisementNoHideTrait,"{""firing"": 1}"
146100414,CTComboDotTrait,"{""firing"": 1}"
146100404,CTAgloNameSpecialTrait,"{""firing"": 1}"
146100415,CTSkinBonesTrait,"{""firing"": 1}"
146100416,CTChapterSkinBonesTrait,"{""firing"": 1}"
146100417,CTClassSkinBonesTrait,"{""firing"": 1}"
146100406,CTGBMClearTrait,"{""firing"": 1}"
146100407,CTReviveTimeOutSkipSplashTrait,"{""firing"": 1}"
146100418,CTBAlgorithmGaohuibaoARGTrait,"{""firing"": 1}"
408007,CTEffectAccTraitTrait,"{""firing"": 1}"
146100419,CTChapterScoreComboTrait,"{""firing"": 1}"
146100420,CTGBMEmptySurfaceGameStartDotTrait,"{""firing"": 1}"
146100421,CTCommentskinWithFeedBackTrait,"{""firing"": 1}"
146100422,CTGameEndStatusDotTrait,"{""firing"": 1}"
146100423,CTMergeBlocksSkinBonesTrait,"{""firing"": 1}"
