_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_012,gp,Remote_Skin_Material_2012,
block_2_normal,res/game_cube_2_material_012,gp,Remote_Skin_Material_2012,
block_3_normal,res/game_cube_3_material_012,gp,Remote_Skin_Material_2012,
block_4_normal,res/game_cube_4_material_012,gp,Remote_Skin_Material_2012,
block_5_normal,res/game_cube_5_material_012,gp,Remote_Skin_Material_2012,
block_6_normal,res/game_cube_6_material_012,gp,Remote_Skin_Material_2012,
block_7_normal,res/game_cube_7_material_012,gp,Remote_Skin_Material_2012,
block_shadow,res/game_cube_shadow_material_012,gp,Remote_Skin_Material_2012,
board_bg,res/gameplay_board_bg_material_012,gp,Remote_Skin_Material_2012,
game_bg,res/gameplay_bg_material_012,gp,Remote_Skin_Material_2012,
eliminate_effect,effect/xc_012,gp,Remote_Skin_Material_2012,
eliminate_prompt_effect,effect/gameplay_eliminateprompt_012,gp,Remote_Skin_Material_2012,
setting_btn,res/btn_set_28_12,gp,Remote_SkinThree_Material_Common,
setting_close_btn,res/btn_close_28_12,gp,Remote_SkinThree_Material_Common,
setting_line,res/setting_line_28_12,gp,Remote_SkinThree_Material_Common,
setting_out_bg,res/setting_bg_common_28_12,gp,Remote_SkinThree_Material_Common,
setting_in_bg,res/setting_bg_common_1_28_12,gp,Remote_SkinThree_Material_Common,
combo_sprite,res/combo_txt_012,gp,Remote_Skin_Material_2012,
combo_font,font/combo_fnt_012,gp,Remote_Skin_Material_2012,
ck_effect,effect/CK_012,gp,Remote_Skin_Material_2012,
combo_effect,effect/comb_012,gp,Remote_Skin_Material_2012,gameplay_dragonbone_combo_grade
encourage_effect,effect/encourage_012,gp,Remote_Skin_Material_2012,
