_key,assetPath,platform,bundleName
block_1_normal,res/game_cube_1_material_021,gp,Remote_Skin_Material_2021
block_2_normal,res/game_cube_2_material_021,gp,Remote_Skin_Material_2021
block_3_normal,res/game_cube_3_material_021,gp,Remote_Skin_Material_2021
block_4_normal,res/game_cube_4_material_021,gp,Remote_Skin_Material_2021
block_5_normal,res/game_cube_5_material_021,gp,Remote_Skin_Material_2021
block_6_normal,res/game_cube_6_material_021,gp,Remote_Skin_Material_2021
block_7_normal,res/game_cube_7_material_021,gp,Remote_Skin_Material_2021
board_bg,res/backgroundkuai2-8x8_material_021,gp,Remote_Skin_Material_2021
block_shadow,res/block_shadow_material_021,gp,Remote_Skin_Material_2021
game_bg,res/backgroundbg_material_021,gp,Remote_Skin_Material_2021
crown,res/backgroundscore_highest3_material_021,gp,Remote_Skin_Material_2021
setting_btn,res/backgroundstop_material_021,gp,Remote_Skin_Material_2021
setting_close_btn,res/btn_Close_material_021,gp,Remote_Skin_Material_2021
setting_line,res/bg_settingLine_material_021,gp,Remote_Skin_Material_2021
setting_out_bg,res/bg_setting_down_material_021,gp,Remote_Skin_Material_2021
setting_in_bg,res/bg_setting_up_material_021,gp,Remote_Skin_Material_2021
revive_effect,res/fuhuoshuzi_material_021,gp,Remote_Skin_Material_2021
combo_sprite,res/combo,gp,Remote_Skin_Material_2021
score_font,font/typefacecurrent_material_021,gp,Remote_Skin_Material_2021
combo_font,font/playgame_num_material_021,gp,Remote_Skin_Material_2021
combo_tips_effect,effect/comnb_021,gp,Remote_Skin_Material_2021
combo_tips_font,font/num_grade_material_021,gp,Remote_Skin_Material_2021
eliminate_prompt_effect,effect/yuxc_kuai,gp,Remote_Skin_Material_2021
encourage_effect,effect/encourage_021,gp,Remote_Skin_Material_2021
eliminate_effect,effect/xc_material_021,gp,Remote_Skin_Material_2021
eliminate_prompt_effect_yumao,effect/yuxc_yumao,gp,Remote_Skin_Material_2021
block_put_effect,effect/gameplay_spine_blocklight_plan1,gp,Remote_SkinThree_Material_Common
