_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_014,gp,Remote_Skin_Material_2014,
block_2_normal,res/game_cube_2_material_014,gp,Remote_Skin_Material_2014,
block_3_normal,res/game_cube_3_material_014,gp,Remote_Skin_Material_2014,
block_4_normal,res/game_cube_4_material_014,gp,Remote_Skin_Material_2014,
block_5_normal,res/game_cube_5_material_014,gp,Remote_Skin_Material_2014,
block_6_normal,res/game_cube_6_material_014,gp,Remote_Skin_Material_2014,
block_7_normal,res/game_cube_7_material_014,gp,Remote_Skin_Material_2014,
block_shadow,res/block_shadow_material_014,gp,Remote_Skin_Material_2014,
board_bg,res/backgroundkuai2-8x8_material_014,gp,Remote_Skin_Material_2014,
game_bg,res/backgroundbg_material_014,gp,Remote_Skin_Material_2014,
eliminate_effect,effect/xc_014,gp,Remote_Skin_Material_2014,
eliminate_prompt_effect,effect/gameplay_eliminateprompt_014,gp,Remote_Skin_Material_2014,
crown,res/backgroundscore_highest3_material_014,gp,Remote_Skin_Material_2014,
setting_btn,res/backgroundstop_material_014,gp,Remote_Skin_Material_2014,
setting_close_btn,res/btn_Close_material_014,gp,Remote_Skin_Material_2014,
setting_line,res/bg_settingLine_material_014,gp,Remote_Skin_Material_2014,
setting_out_bg,res/bg_setting_down_material_014,gp,Remote_Skin_Material_2014,
setting_in_bg,res/bg_setting_up_material_014,gp,Remote_Skin_Material_2014,
combo_sprite,res/playgame_img_high_material_014,gp,Remote_Skin_Material_2014,
combo_font,font/playgame_num_high_material_014,gp,Remote_Skin_Material_2014,
score_font,font/typefacecurrent_material_014,gp,Remote_Skin_Material_2014,
combo_tips_font,font/txt_jiafen_014,gp,Remote_Skin_Material_2014,
ck_effect,effect/CK_014,gp,Remote_Skin_Material_2014,
combo_effect,effect/comb_014,gp,Remote_Skin_Material_2014,Armature
encourage_effect,effect/encourage_014,gp,Remote_Skin_Material_2014,
revive_effect,effect/fuhuoshuzi_014,gp,Remote_Skin_Material_2014,
combo_tips_effect,effect/comnb_014,gp,Remote_Skin_Material_2014,
block_put_effect,effect/gameplay_spine_blocklight_plan1,gp,Remote_SkinThree_Material_Common,
