_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_004,gp,Remote_Skin_Material_2004,
block_2_normal,res/game_cube_2_material_004,gp,Remote_Skin_Material_2004,
block_3_normal,res/game_cube_3_material_004,gp,Remote_Skin_Material_2004,
block_4_normal,res/game_cube_4_material_004,gp,Remote_Skin_Material_2004,
block_5_normal,res/game_cube_5_material_004,gp,Remote_Skin_Material_2004,
block_6_normal,res/game_cube_6_material_004,gp,Remote_Skin_Material_2004,
block_7_normal,res/game_cube_7_material_004,gp,Remote_Skin_Material_2004,
block_shadow,res/game_cube_shadow9_material_004,gp,Remote_Skin_Material_2004,
board_bg,res/backgroundkuai2-8x8_material_004,gp,Remote_Skin_Material_2004,
game_bg,res/backgroundbg_material_004,gp,Remote_Skin_Material_2004,
combo_sprite,res/combo_txt_material_004,gp,Remote_Skin_Material_2004,
combo_font,font/combo_fnt_material_004,gp,Remote_Skin_Material_2004,
score_font,font/typefacecurrent_material_004,gp,Remote_Skin_Material_2004,
combo_tips_font,font/num_grade_material_004,gp,Remote_Skin_Material_2004,
combo_effect,effect/comb_004,gp,Remote_Skin_Material_2004,Armature
encourage_effect,effect/encourage_004,gp,Remote_Skin_Material_2004,
eliminate_prompt_effect,effect/gameplay_eliminateprompt_004,gp,Remote_Skin_Material_2004,
eliminate_effect,effect/xc_004,gp,Remote_Skin_Material_2004,
combo_tips_effect,effect/comnb_004,gp,Remote_Skin_Material_2004,
