_key,assetPath,platform,bundleName,fontLayout
block_1_normal,res/game_cube_1_material_4051,gp,Remote_Skin_Material_4051,
block_2_normal,res/game_cube_2_material_4051,gp,Remote_Skin_Material_4051,
block_3_normal,res/game_cube_3_material_4051,gp,Remote_Skin_Material_4051,
block_4_normal,res/game_cube_4_material_4051,gp,Remote_Skin_Material_4051,
block_5_normal,res/game_cube_5_material_4051,gp,Remote_Skin_Material_4051,
block_6_normal,res/game_cube_6_material_4051,gp,Remote_Skin_Material_4051,
block_7_normal,res/game_cube_7_material_4051,gp,Remote_Skin_Material_4051,
block_put_spine_effect,effect/gameplay_light_startBlock_051,gp,Remote_Skin_Material_4051,
block_shadow,res/game_cube_shadow9_material_4051,gp,Remote_Skin_Material_4051,
board_bg,res/backgroundkuai-8x8_material_4051,gp,Remote_Skin_Material_4051,
combo_spine,effect/gameplay_combo_051,gp,Remote_Skin_Material_4051,
combo_spine_font,font/gameplay_num_combo_material_4051,gp,Remote_Skin_Material_4051,"{""spacingX"": -10, ""fontSize"": 160, ""position"": {""x"": 45, ""y"": -60}, ""lineHeight"": 50}"
combo_spine_sprite,res/gameplay_txt_combo_material_4051,gp,Remote_Skin_Material_4051,
combotips_spine_effect,effect/gameplay_comboTips_051,gp,Remote_Skin_Material_4051,
crown,res/backgroundscore_highest3_material_4051,gp,Remote_Skin_Material_4051,
eliminate_effect,effect/gameplay_eliminate_051,gp,Remote_Skin_Material_4051,
encourage_spine_effect,effect/gameplay_word_051,gp,Remote_Skin_Material_4051,
game_bg,res/backgroundbg_material_4051,gp,Remote_Skin_Material_4051,
revive_spine_countdown,effect/revive_countdown_051,gp,Remote_Skin_Material_4051,
setting_btn,res/backgroundstop_material_4051,gp,Remote_Skin_Material_4051,
setting_in_bg,res/set_bg_material_4051,gp,Remote_Skin_Material_4051,
setting_out_bg,res/set_bg2_material_4051,gp,Remote_Skin_Material_4051,
spine_score_font,font/typeFaceCurrent_material_4051,gp,Remote_Skin_Material_4051,"{""spacingX"": -5, ""fontSize"": 112, ""position"": {""x"": 0, ""y"": -8}, ""lineHeight"": 50}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_051,gp,Remote_Skin_Material_4051,
