_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_018,gp,Remote_Skin_Material_2018,
block_2_normal,res/game_cube_2_material_018,gp,Remote_Skin_Material_2018,
block_3_normal,res/game_cube_3_material_018,gp,Remote_Skin_Material_2018,
block_4_normal,res/game_cube_4_material_018,gp,Remote_Skin_Material_2018,
block_5_normal,res/game_cube_5_material_018,gp,Remote_Skin_Material_2018,
block_6_normal,res/game_cube_6_material_018,gp,Remote_Skin_Material_2018,
block_7_normal,res/game_cube_7_material_018,gp,Remote_Skin_Material_2018,
block_shadow,res/game_cube_shadow9_material_018,gp,Remote_Skin_Material_2018,
board_bg,res/backgroundkuai2-8x8_material_018,gp,Remote_Skin_Material_2018,
game_bg,res/backgroundbg_material_018,gp,Remote_Skin_Material_2018,
crownbg,res/gameplay_img_panel_bestScore_material_018,gp,Remote_Skin_Material_2018,
crown,res/backgroundscore_highest3_material_018,gp,Remote_Skin_Material_2018,
setting_btn,res/backgroundstop_material_018,gp,Remote_Skin_Material_2018,
combo_sprite,res/combo_txt_material_018,gp,Remote_Skin_Material_2018,
combo_font,font/combo_material_018,gp,Remote_Skin_Material_2018,
high_score_font,font/typefacehigh_material_018,gp,Remote_Skin_Material_2018,
score_font,font/typefacecurrent_material_018,gp,Remote_Skin_Material_2018,
all_clear_font,font/gameplay_num_allClear_material_018,gp,Remote_Skin_Material_2018,
combo_effect,effect/comb_018,gp,Remote_Skin_Material_2018,Armature
encourage_effect,effect/encourage_018,gp,Remote_Skin_Material_2018,
eliminate_prompt_effect,effect/gameplay_eliminatePrompt_018,gp,Remote_Skin_Material_2018,
eliminate_effect,effect/xc_018,gp,Remote_Skin_Material_2018,
combo_tips_effect,effect/comnb_018,gp,Remote_Skin_Material_2018,
