_key,assetPath,platform,bundleName,fontLayout
block_1_normal,res/game_cube_1_material_4037,gp,Remote_Skin_Material_4037,
block_2_normal,res/game_cube_2_material_4037,gp,Remote_Skin_Material_4037,
block_3_normal,res/game_cube_3_material_4037,gp,Remote_Skin_Material_4037,
block_4_normal,res/game_cube_4_material_4037,gp,Remote_Skin_Material_4037,
block_5_normal,res/game_cube_5_material_4037,gp,Remote_Skin_Material_4037,
block_6_normal,res/game_cube_6_material_4037,gp,Remote_Skin_Material_4037,
block_7_normal,res/game_cube_7_material_4037,gp,Remote_Skin_Material_4037,
block_put_spine_effect,effect/gameplay_light_startBlock_037,gp,Remote_Skin_Material_4037,
block_shadow,res/game_cube_shadow9_material_4037,gp,Remote_Skin_Material_4037,
board_bg,res/backgroundkuai2-8x8_material_4037,gp,Remote_Skin_Material_4037,
combo_spine,effect/gameplay_combo_037,gp,Remote_Skin_Material_4037,
combo_spine_font,font/gameplay_combo_fnt_material_4037,gp,Remote_Skin_Material_4037,"{""spacingX"": -20, ""fontSize"": 170, ""position"": {""x"": 60, ""y"": -40}, ""lineHeight"": 50}"
combo_spine_sprite,res/gameplay_combo_txt_material_4037,gp,Remote_Skin_Material_4037,
combotips_spine_effect,effect/gameplay_comboTips_037,gp,Remote_Skin_Material_4037,
crown,res/backgroundscore_highest3_material_4037,gp,Remote_Skin_Material_4037,
eliminate_effect,effect/gameplay_eliminate_037,gp,Remote_Skin_Material_4037,
eliminate_prompt_effect,effect/gameplay_ready_eliminate_037,gp,Remote_Skin_Material_4037,
encourage_spine_effect,effect/gameplay_word_037,gp,Remote_Skin_Material_4037,
game_bg,res/backgroundbg_material_4037,gp,Remote_Skin_Material_4037,
revive_round_bg,res/die_quan_bg_material_4037,gp,Remote_Skin_Material_4037,
revive_round_progress,res/die_quan_material_4037,gp,Remote_Skin_Material_4037,
revive_spine_countdown,effect/revive_countdown_037,gp,Remote_Skin_Material_4037,
setting_bottom_btn_bg,res/set_btn_SetCommon_material_4037,gp,Remote_Skin_Material_4037,
setting_btn,res/backgroundstop_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_BGM,res/set_btn_bgm_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_BGM_txt,res/set_txt_bgm_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_sound,res/set_btn_sound_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_sound_txt,res/set_txt_sound_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_vibration,res/set_btn_vibration_material_4037,gp,Remote_Skin_Material_4037,
setting_btn_vibration_txt,res/set_txt_vibration_material_4037,gp,Remote_Skin_Material_4037,
setting_close_btn,res/set_btn_close_material_4037,gp,Remote_Skin_Material_4037,
setting_in_bg,res/set_bg_2_material_4037,gp,Remote_Skin_Material_4037,
setting_line,res/set_bg_line_material_4037,gp,Remote_Skin_Material_4037,
setting_out_bg,res/set_bg_1_material_4037,gp,Remote_Skin_Material_4037,
setting_title,res/set_txt_settings_material_4037,gp,Remote_Skin_Material_4037,
spine_highscore_font,font/typefacehigh_material_4037,gp,Remote_Skin_Material_4037,"{""spacingX"": -22, ""fontSize"": 90, ""position"": {""x"": 51, ""y"": -5}, ""lineHeight"": 70}"
spine_score_font,font/typeFaceCurrent_material_4037,gp,Remote_Skin_Material_4037,"{""spacingX"": -10, ""fontSize"": 110, ""position"": {""x"": 0, ""y"": -10}, ""lineHeight"": 50}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_037,gp,Remote_Skin_Material_4037,
