_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/cube_1_material_015,gp,Remote_Skin_Material_2015,
block_1_highlight,res/cube_1_material_highlight_015,gp,Remote_Skin_Material_2015,
block_2_normal,res/cube_2_material_015,gp,Remote_Skin_Material_2015,
block_2_highlight,res/cube_2_material_highlight_015,gp,Remote_Skin_Material_2015,
block_3_normal,res/cube_3_material_015,gp,Remote_Skin_Material_2015,
block_3_highlight,res/cube_3_material_highlight_015,gp,Remote_Skin_Material_2015,
block_4_normal,res/cube_4_material_015,gp,Remote_Skin_Material_2015,
block_4_highlight,res/cube_4_material_highlight_015,gp,Remote_Skin_Material_2015,
block_5_normal,res/cube_5_material_015,gp,Remote_Skin_Material_2015,
block_5_highlight,res/cube_5_material_highlight_015,gp,Remote_Skin_Material_2015,
block_6_normal,res/cube_6_material_015,gp,Remote_Skin_Material_2015,
block_6_highlight,res/cube_6_material_highlight_015,gp,Remote_Skin_Material_2015,
block_7_normal,res/cube_7_material_015,gp,Remote_Skin_Material_2015,
block_7_highlight,res/cube_7_material_highlight_015,gp,Remote_Skin_Material_2015,
block_shadow,res/gameplay_cube_shadow,gp,Remote_Skin_Material_2015,
board_bg,res/gameplay_board_bg,gp,Remote_Skin_Material_2015,
game_bg,res/gameplay_bg,gp,Remote_Skin_Material_2015,
crown,res/gameplay_icon_bestscore,gp,Remote_Skin_Material_2015,
setting_btn,res/gameplay_icon_setting,gp,Remote_Skin_Material_2015,
setting_close_btn,res/BtnClose,gp,Remote_Skin_Material_2015,
setting_line,res/line,gp,Remote_Skin_Material_2015,
setting_out_bg,res/setting_bg1,gp,Remote_Skin_Material_2015,
setting_in_bg,res/setting_bg2,gp,Remote_Skin_Material_2015,
revive_round_bg,res/revive_bar2,gp,Remote_Skin_Material_2015,
revive_round_progress,res/revive_bar1,gp,Remote_Skin_Material_2015,
combo_sprite,res/combo,gp,Remote_Skin_Material_2015,
combo_font,font/combo,gp,Remote_Skin_Material_2015,
high_score_font,font/bestscore_new,gp,Remote_Skin_Material_2015,
score_font,font/gameplay_score,gp,Remote_Skin_Material_2015,
combo_tips_font,font/gameplay_score2,gp,Remote_Skin_Material_2015,
ck_effect,effect/CK_015,gp,Remote_Skin_Material_2015,
combo_effect,effect/comb_015,gp,Remote_Skin_Material_2015,Armature
encourage_effect,effect/encourage_015,gp,Remote_Skin_Material_2015,
revive_effect,effect/fuhuoshuzi_015,gp,Remote_Skin_Material_2015,
combo_tips_effect,effect/gameplay_combo_tips_015,gp,Remote_Skin_Material_2015,
eliminate_prompt_effect,effect/gameplay_eliminatePrompt_015,gp,Remote_Skin_Material_2015,
eliminate_effect,effect/xc_015,gp,Remote_Skin_Material_2015,
