ID,name
1001,Pure Pink
1020,Ground
1025,Tiffany Blue
1021,Blue-white
1034,Mystery
1024,Air Pink
1003,Gradient Pink
1037,Calm
1033,Peaceful
1002,Macaron
1036,Romantic
1004,Morandi 
1027,Macaw
1014,Ukiyoe
1016,Rococo
1038,Lovely
1010,Cyberpunk
1023,Earth
1017,Matisse
1018,Latte
1026,Dessert
1035,Fresh
1031,Wizard
1032,Passion
1011,Countryside
1005,Pure Green
1012,Ocean
1022,Classic Black
1019,Pantone
1013,Forest
1015,Memphis
1006,Sunflowers
1030,Warm Cold
1028,Mountains
1029,Glaciers
1007,The Starry Night
1009,Mondrian
1008,Dark Pop
1039,Energy
