_key,assetPath,platform,bundleName,fontLayout
block_1_normal,res/game_cube_1_material_3017,gp,Remote_Skin_Material_3017,
block_2_normal,res/game_cube_2_material_3017,gp,Remote_Skin_Material_3017,
block_3_normal,res/game_cube_3_material_3017,gp,Remote_Skin_Material_3017,
block_4_normal,res/game_cube_4_material_3017,gp,Remote_Skin_Material_3017,
block_5_normal,res/game_cube_5_material_3017,gp,Remote_Skin_Material_3017,
block_6_normal,res/game_cube_6_material_3017,gp,Remote_Skin_Material_3017,
block_7_normal,res/game_cube_7_material_3017,gp,Remote_Skin_Material_3017,
block_shadow,res/gridshadow_skin_material_3017,gp,Remote_Skin_Material_3017,
board_bg,res/gameplay_board_bg__material_3017,gp,Remote_Skin_Material_3017,
combo_spine,effect/gameplay_combo_017,gp,Remote_Skin_Material_3017,
combo_spine_font,font/combo_fnt_material_3017,gp,Remote_Skin_Material_3017,"{""spacingX"": -20, ""fontSize"": 50, ""position"": {""x"": 30, ""y"": 10}, ""lineHeight"": 50}"
combo_spine_sprite,res/combo_txt_material_3017,gp,Remote_Skin_Material_3017,
combotips_spine_effect,effect/gameplay_comboTips_017,gp,Remote_Skin_Material_3017,
crown,res/crown_3017,gp,Remote_Skin_Material_3017,
eliminate_effect,effect/gameplay_eliminate_017,gp,Remote_Skin_Material_3017,
encourage_spine_effect,effect/gameplay_word_017,gp,Remote_Skin_Material_3017,
game_bg,res/gameplay_bg_material_3017,gp,Remote_Skin_Material_3017,
revive_round_bg,res/die_quan_bg,gp,Remote_Skin_Material_3017,
revive_spine_countdown,effect/revive_countdown_017,gp,Remote_Skin_Material_3017,
setting_btn,res/gameplay_btn_set_material_3017,gp,Remote_Skin_Material_3017,
setting_close_btn,res/gameplay_steeings_btn_close_material_3017,gp,Remote_Skin_Material_3017,
setting_in_bg,res/gameplay_setting_frame2_material_3017,gp,Remote_Skin_Material_3017,
setting_line,res/gameplay_set_line_material_3017,gp,Remote_Skin_Material_3017,
setting_out_bg,res/gameplay_setting_frame1_material_3017,gp,Remote_Skin_Material_3017,
spine_score_font,font/gameplay_score,gp,Remote_Skin_Material_3017,"{""spacingX"": -10, ""fontSize"": 72, ""position"": {""x"": 0, ""y"": 12}, ""lineHeight"": 50}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_017,gp,Remote_Skin_Material_3017,
